日本語,英語,例文,,
名残惜しい,To be regretful,彼女は名残惜しそうに何回も振り返った。,,
取り壊す,To tear down (building),町で最も古い映画館が現在、取り壊されています。,,
権限、権威、権力,Authority,それは私の権限外だ。権限外のことをする。,,
災い,Calamity,,,
除け者、除け者にする、除け者にされる,"Outcast (to leave out, to be left out)",,,
神聖な,"Sacred, holy",インドでは牛は神聖な動物だ。,,
雄、雌,"Male, female (animal)",,,
色彩・色,Color,,,
色調,Color tone,色合い「色の強弱・明暗・濃淡」」原画と複製とでは色調に微妙な差異がある。,,
真正の、本当の,"Real, authentic",,,
時限,School period,,,
繰り上げる、繰り上げになる,"To move up, to be moved up",,,
相違,Distinction,,,
著しい,"Remarkable, striking",,,
際立つ、目立つ,To stand out,,,
男女、男女同権,"Men & women,　Equal rights",,,
精一杯～,With all one's might,,,
成育,Growth,,,
ピチピチ,"Lively, energetic",,,
大半,"Majority, The best part of~",～の大半The majority of~　法律用語の大半は素人に分かり難い。旅の大半。The best part of the trip.,,
間近な（まぢか）,"Close, nearby",extruder 2 hopper,,
忘れ去る,To forget completely,,,
熱帯,Tropical,,,
雨林,Rain forest,,,
容赦する、許し,"Foregiveness, to forgive",容赦のない、Unfogiving,,
助教,Assistant teacher,,,
到達する、達する,"To reach, to arrive at",その二人は同じ結論に到達した。,,
売れ行き,State of sales,今日の売れ行きはいつもより良かった。雨の日には傘の売れ行きが良い。,,
画質,Image quality,,,
在庫がある、在庫する、ストック,"To be in stock, to stock",在庫が切れてる。Out of stock。この店は台所用品の在庫が多い。その店は各種ワインをたくさん在庫してる。在庫切れ。,,
各種の,"All kinds of, many kinds of",その家の経費は３２６万円と算出された。,,
算出する,"Calculation, to calculate",,,
持ち出す,"To take from where it goes, to bring up a topic",誰が私のヘアアイロンを持ち出した！新たな問題を持ち出して、その問題を複雑にするな！,,
情けない,To be pathetic,,,
気落ちする、落ち込む、憂鬱する,"Depression, to be depressed",,,
根性、根性なし,"To have guts, to have no guts",,,
日取り,"Fixing a date/a fixed date, to fix a date for something",結婚式の日取りを決めよう。,,
まあね,"That's right, well I guess so",,,
俯く,To have one's head down in shame,,,
夜半、夜中,Middle of the night,夜中に雨が降ったので道が大変悪かった。僕らは夜中の2時まで話していた。夜中に台所で何かが壊れる音がした。夜中過ぎに起きました。時折、私の犬は夜中の間に吠えます。我々は喋りづめで夜半まで起きていた。彼女は夜半までトイレでうつむいてはいていた。,,
俯き,Face down,,,
処方する,"Prescription, to prescribe",医者は患者に薬を処方した。すみませんがここではその処方薬は調合出来ません。処方箋（せん）を書くＴｏ　ｗｒｉｔｅ　ａ　ｐｒｅｓｃｒｉｐｔｉｏｎ処方箋を作る,,
薬剤師,"Pharmacist, chemist",,,
調合する,"Mixing, to mix (presription)",,,
インチキな,To be fake/bogus/cheating,,,
発想する,Way of thinking,物事を考えだすこと。新しい考えや思い付きを得ること。またその方法や内容。芸術作品など、表現のもとになる考えを得ること「奮起」発想を切り替える。事実から発送した小説。,,
うようよする,To be crawling with,その草地にはカエルがうようよいる。,,
草地,Meadow,,,
負債,"Debt, liability",政府はその負債を払うと発表した。我々の負債の合計は１万ドルに達してる。人の負債を肩代わりする。,,
水槽,Water tank,,,
鯉、オタマジャクシ,"Carp, tadpole",,,
淡水魚、鹹水魚（かんすいぎょ）,Fresh/saltwater fish,,,
箒（ほうき）,Broom (to broom/sweep),箒で掃く。,,
よっぽどのこと,Serious matter,,,
崩壊する,"Collapse, break down　（To collapse/breakdown)",,,
～に１０ドルの借金・借りがある,To owe someone $10,,,
塗り薬,"Lotion, ointment",,,
膨大な,To be enormous,,,
特許,A patent,,,
使いこなす,To master,,,
専任、常勤、専従者,Full time,,,
恩返しする,"Ruturning a favor, to return a favor",,,
何もかも,Anything and everything,,,
親密な・親しい・近しい（ちか）,Intimate,関係が親密。親密な関係。近しい間柄。近しく付き合う。,,
年月（ねんげつ・としつき）,Years and months/time,,,
厳罰する,"A severe punishment, to severly punish",,,
イヤリング、アクセサリー,an earring/jewelry,アクセサリーをする。,,
うずくまる・しゃがむ,To crouch,,,
収穫する,"A harvest, to harvest",,,
その当時,At that time,,,
放置する,"Abandonment, to abandon",雨の中に放置しておく自転車はさびるでしょう。少女たちは縛り上げられて地下室に放置された。,,
さびる,To rust,その鉄の棒はさびてぼろぼろになった。,,
歩道,Sidewalk,,,
撤去する,"Removal, to remove",,,
積極的な,Active,,,
香しい（かぐわ）・芳ばしい（こう）・芳しい（かんば）,To be fragrant/good smelling,,,
語る,To talk,,,
自尊心,Self esteem/self respect,,,
何なり,"Anything, whatever",何なりとお申し付けください。役に立てばうれしいです。,,
頻度,Frequency,彼女の論文に提出された統計データは、その頻度を見積もるのに大いに役立つ。,,
ぎらぎらする,To glitter/dazzle,,,
トレーナー,"Trainer, sweat shirt",彼の眼は怒りでギラギラしていた。太陽はぎらぎらと我々に照り付けた。熱帯の太陽は容赦なくギラギラ照り付けた。そのギラギラしたアクセサリーは君のトレーナーには合わないよ。,,
認容する,"Approval, to approve (legal term)",,,
容認する,"Approval, to approve",,,
人事異動,Personnel change,,,
報復・仕返し・復讐・しっぺ返し,Revenge,,,
型名、型番,"Model name, number",,,
製造者,Manufacturer,,,
聖戦,Crusade,,,
暗躍する,"Secret activity, to act in secret",,,
裁縫する（さいほう）,"Sewing, to sew",,,
再放送する,"A rerun/rebroadcast, to rerun/rebroadcast",,,
～に固有のもの、～に固有の　特有な,Characteristic of~,羽は鳥に固有のものだ。それは日本固有の習慣だ。固有種An indiginous species,,
本質的な,To be essential,それらは程度の差で本質的には違いはない。,,
再訪する,"A revisit, to revisit",,,
禁制する,"Prohibitation, to prohibit",禁制品。男子禁制。,,
基準,A criterion,,,
服従する,"Obedience/submission, to be obedient/submit",,,
均整,Proportion,,,
自制・自制心,Self control,自制心を失う、自制心を取り戻す。,,
ぱっと・いきなり・突然・突如,Suddenly/all of a sudden,彼女が来ると部屋の雰囲気がパッと明るくなる。,,
燃え上がる,To go up in flames,,,
加算する,"Addition, to add",加算器An adding machineあなたの給与は一定の基本給に販売手数料が加算されます。走行マイルで料金が加算されますか。家賃の支払いが五日を過ぎると、延滞料金が加算されます。,,
延滞,Overdue,料金延滞で電話を止められた。家賃の支払いが5日を過ぎると、延滞料金が加算されます。,,
遣り繰りする,To make a living/to make ends meat/to make do with what one has,,,
馬力,Horse power (HP),,,
究極「の」,Ultimate,究極なおなら、究極な失敗。,,
自発的な・自主的な,To be voluntary,,,
～の欠如 （～のなさ）,Lack of ~,必要な物がないこと」それは相互理解の欠如がもとになってると思う。若者と老人の間にはコミュニケーションの欠如がある。判断力の欠如。道徳心が欠如してる。,,
欠如する,To be completely lacking,,,
欠落する,To be partially lacking,一部分だけが欠けてること」記憶の欠落部分。金銭感覚が欠落してる。,,
欠乏する,"Deficieny, to be deficient",浪費は欠乏の元。戦争は不足と欠乏の時代を招いた。,,
付属する・属す,"Affiliaton, to be affiliated",その会社には附属病院が3つある。付属の冊子。付属のワークブック。付属の家屋。付属の手袋をお使いください。付属の書式に印刷されたハード・コピー。付属の行動計画。付属ケーブル。付属品取り付けレール。付属品全部含んだ。付属校。,,
身分・地位,Social status,身分証明書を持っている学生なら、だれでも図書館には入れる。人は、その身分によって、判断されるべきではない。,,
承諾する（しょうだく）,"Acceptance, to accept",承諾書Ｌｅｔｔｅｒ　ｏｆ　ｃｏｎｓｅｎｔ．彼はそのようなバカげた提案を承諾することを拒んだ。（こぶむ）,,
報い,A reward/punishment,汚い行為の報いは必ず自分に返ってくる。愚かなことをして、君は死の報いを受けるだろう。,,
癒し・治し・全治する,"Recovery, full recovery",,,
遺憾！,Curses/rats/darn it!,,,
頻りに・頻々と（ひんぴと）,Frequently,昨今は災害が頻々とあった。,,
用済み,Already served it's purpose,,,
額、お凸,Forehead,,,
たびたび・よく,Often,,,
笛・フルート,Flute,,,
退散する,To split up (to flee/run),彼女は大声で叫んで襲ってきたやつを退散させた。そろそろ退散しようぜ「警察から逃亡中とか」,,
不正な,To be unjust,,,
望ましい,To be desireable,,,
貧しい・貧乏な,To be poor,,,
あざ笑う,To ridicule,,,
重んじる,To value,たいていの女性は流行を重んじる。私は量よりも質を重んじる。女の子はファッションを重んじる。実地は理論と同様に大切であるが、我々は理論を重んじ、実地を軽んずる傾向がある。彼は何物にもまして名誉を重んじる。彼は学校で重んじられる。,,
金銭,Money,彼は金銭にはむとんちゃく。,,
献金,Tithes,,,
ゲーム、ボスチャラをクリアする,To beat a  game level/boss,,,
辛抱する・辛抱強い,"Patience, to be patient",辛抱しなければ成功することができない。辛抱こそ大事なんだ。私は辛抱しきれなくなった。他人には辛抱するようにしなさい。,,
伝道師・宣教師,A missionary,,,
傾く,To lean/slant,机の上の電気スタンドは傘が一方に傾いてる。その箱は一方に傾いている。,,
判決,A court ruling/decision,,,
ついつい、つい,Unintentionally,甘いものについてが出てしまう。料理がおいしくてつい食べ過ぎた。立ち聞きする気はなかったけど、ついあなたの話が聞こえてしまった。彼を見るといつもつい同情してしまう。,,
ユダヤ人,A jew,,,
台座,A pedastool,,,
心細い,Lonely and insecure,心細いは寂しい＋不安」,,
冷静な,Calm,彼女はニュースを冷静に受け止めた。これは冷静な判断を必要とする状況である。冷静に考えてみろよ！,,
受け止める,"To catch (a ball), to take (news / a circumstance / situation)",ことを冷静に受け止める、ことを深刻に受け止める。彼は負けたことを深刻に受け止めた。彼女は知らせを冷静に受け止めた。どう状況を受け止めばいいのかな。,,
切ない,Painful,,,
愛しい・いとおしい,Dear/beloved,,,
向かい風,A headwind,,,
追い風,A tailwind,追い風の時に帆を上げよ！,,
呆れる,To be disgusted with/shocked at,君には呆れた！彼の不注意には呆れてしまった。忘れっぽいのには自分ながら呆れる。彼の馬鹿げた振る舞いには呆れよ。,,
痒み、痒いところがある,"An itch, to have an itch",背中の痒いところをかいてくれない？,,
ちくちくする（とげとかが）,To prickle (like a needle/thorn etc),ここがチクチク痛みます。左目がチクチクします。,,
むずむずする,To be itching to do,鼻がむずむずする。彼は家に帰りたくてむずむずしていた。　～たくてムズムズする,,
推定する,"Estimation, to estimate",推定によれば、今年の鉄鋼生産は１億トンに達するだろう。,,
局部,"Private parts, part",局部に痒みがある。天文学者は局部超銀河団の存在を推定した。,,
腫れ、腫れる,"Swelling, to swell",扁桃腺が腫れている気がするのですが。蚊に刺されたところをかいちゃだめだよ、腫れちゃうから。歯茎が腫れている。,,
膨張する,"Expansion, to expand",多くの天文学者は、宇宙は永遠に膨張してゆくものと考えている。,,
通貨,Currency,当局は自国の通貨を何とか安定させた。,,
掻く（か）,To scratch,彼はいつもの癖で頭をかいた。虫にかまれたところをかいてはいけない。彼は背中をかいたら、爪を噛んだりする癖がある。,,
嫌悪・憎悪（ぞうお）,Hatred,彼女の嫌悪感は顔に現れていた。その犯人に対する嫌悪に満ちている。彼女を嫌悪する。,,
渋い、渋み「がある」,"Tasteful/classy, to have astringency/to have taste/class",渋い服。渋い色。,,
不賛成,"Disapproval, to disapprove",,,
控え目な・謙遜な・謙虚な,Modest/humble,,,
じろじろ見る,To stare at,見知らぬ人にじろじろ見るのは不作法である。私たちはみんな彼女をじろじろ見た。,,
腹痛がする,Stomach pain,,,
広範囲な,To be extensive,彼の研究は広範囲に及んでいる。その地震で広範囲に及ぶ被害が出た。,,
てんやわんや、目まぐるしい,Hectic,,,
恥じる,To be ashamed,彼女は子供のふるまいを恥じた。彼女は自分のしたことを恥じている。,,
カニングする,To cheat,,,
気がとがめる,To feel guilty about~,嘘をついたことで気がとがめている。,,
催す・行う・開く・開催する,To hold a meeting/event etc.,,,
実感する,To realize,,,
動機「で、になる」,Motive,彼がその家を放火した動機なんだったか？,,
理想・理想的な,Ideal,,,
猟師,A hunter,,,
修行する,"Training, to train",,,
代用する,"Substitution, to substitute",この箱はテーブルの代用となる。この流動体は接着剤の代用になる。いざとなったら、傘が武器の代用になる。,,
広大な,Vast,,,
無辺の・な,Boundless,広大無辺Vast and boundless無辺な宇宙。,,
おしなべて,For the most part,今年のトマトの生育はおしなべて良好です。劇に批評はおしなべて好評だった。,,
好評「を得る」,A good reputation,その劇は好評を得た。その劇は好評だ。Has a good repその映画は大好評です。彼の演説は聴衆の好評を博した。彼は好評を得るだけの価値がある。彼の新しい本は好評を博した。劇に批評は押しなべて好評だった。,,
飛行,Aviation/flight,,,
利点,An advantage point,,,
美貌,Beauty,,,
衰え、衰える,"Decay, to decay",,,
重罪の、重罪を犯す,"A serious crime, to commit a serious crime",,,
重点、重点を置く,"Priority, to put emphasis on",会社の当面の重点はマーケットシェアに拡大である。彼の政策は国民の福祉に重点を置く。討論での重点は失業問題であった。このショーではロボットに重点が置かれてる。この辞書は特に語法に重点を置いてる。外国語に充填する学校。次の章でこの問題を重点的に扱います。Prioritively handle.重点の置かれた予算項目は教育、社会保障、そのほかの生活関連分野である。,,
日程表、カレンダー,Calendar,,,
日程・日程表、スケジュール,Schedule,,,
議事録,Meeting minutes,,,
電線,Electric line,,,
感電する・電撃する,"To shock, to get a shock",電撃を受ける。電撃する。電撃される。人を感電させる。人を静電気で襲う。,,
ヒット、ウエブサイトヒット,A hit,人気のあるもの」ウエブサイトのヒット数。,,
華麗な,To be magnificent,,,
端子,"Electric terminal, internet port",,,
退社する,"Leaving work, to leave work",,,
弁える,To know your role/be prudent,「よく判断して振る舞う、ものの区別を知る、物の道理を十分に知る」道理をわきまえる。正邪をわきまえる。,,
交付する・発行する,"Issuance, to issue",授業料の補助金が交付された。市長は私に身分証明書を交付した。,,
送り返す,To send back,,,
平野、野原,A field,,,
水路,A waterway,,,
無効にする、有効にする,To disable/enable,,,
横切る,To cross,彼らは川を横切って進んだ。彼は彼女を残したまま、通りを走って横切った。平野を横切って水路が枝分かれしてる。,,
枝分かれする,To branch out,,,
遮断する,"Blocking off, to block off",,,
受け流す,To evade,,,
どうしても～したい,To be dying to～,,,
同権,Equal rights,,,
良好な,To be favorable,品物は良好な状態で到着した。,,
生育する,"Growth, to raise (plants)",植物を生育する。雨の量が作物の生育に影響するのですか。今年のトマトの生育は押しなべて良好です。,,
トナーカートリッジ,A toner cartridge,,,
清掃する,"Cleaning, to clean",,,
低減する,"Declination, to decline",産婦人科医が減ってるのは出生数の減少で医療ニーズが低減したのを反映してる。,,
下落する,"Declination, to decline",株・償却で価値が下がる・物価・相場」ドルの下落に続いて物価が急騰した。ドルの下落の行き過ぎを是正する。物価が徐々に下落してきてる。,,
婉曲な,Indirect,,,
起因・原因,A cause,,,
手順,A process/procedure,,,
高慢な・傲慢な・高慢ちき「の」,"Arrogance, to be arrogant",傲慢のほうが高慢より度合いが高い」,,
担当する,"Being in charge/person in charge, to be in charge",,,
床屋、美容院,"A barber shop, a beauty salon",,,
倫理,Ethics,,,
染める、染まる,"To dye, to be dyed",,,
散髪する,"Hair cutting, to cut hair",,,
社風,A company style,,,
進行する,Ｐｒｏｇｒｅｓｓ　（ｔｏ　ｐｒｏｇｒｅｓｓ）,,,
即刻、早急な、直ちに,Immediate,,,
決別する,"Seperation, to separate",決別から２０年も経ちます。仲間と決別してから、ほかのプレイヤーを邪魔するようになった。仲良くしていた相手の悪口を伝えることで、決別を促そうとします。,,
税抜き、税込み,"For tax to not be included, for tax to be included",,,
対象外,Not covered by/not subject to,,,
決済する,"A payment of account, to pay an account",,,
導入する,Induction/ to induce,その会社は経営に日本式のやり方を導入した。新しい税の導入は経済全体に影響を与えるものとみられる。,,
未知「の」,To be unknown,既知のことは未知のことと区別しなくてはならない。ソフィーは未知の差出人からまた手紙が来るのを心待ちにしてる。彼らは差出人と受け取り人の名前を混同した。,,
方式,A method,,,
税関,Customs,税関を通る・通過する,,
打ちのめす,To overcome a hardship/to kick someone's butt,,,
不在・留守「の間に」,Absence (in one's absence),,,
フロート表示リンク,Floating link,,,
スクロールする,To scroll,,,
高級な,High grade/quality,,,
設備,Equipment,,,
巻物,A scroll/volume of a book,,,
電気器具,An electric appliance,,,
保有する・所有する,"Possession, to posses",１０％の株を保有する。その会社は１００％地元政府が保有している。,,
洋上,On the ocean,,,
出場する,"Participation, to participate (sports event etc.)",,,
授ける（さず）,To grant/bestow,,,
引退する,"Retirement, to retire",,,
宣言する,"Declaration, to declare",独立宣言The delcaration of independence.奴隷解放宣言。その植民地は独立を宣言した。司祭は彼らを夫婦だと宣言した。市長は調査の結果を発表すると宣言した。労働組合はストを宣言した。子供はキャンディーで大人は宣言でだますことができる。,,
肉食、草食、雑食,"A carnivore, herbivore, omnivore",,,
寝そべる,To sprawl out,,,
よろめく・よろける・よろよろする,To stagger,その老人は足がもつれてよろけた。太った男が浅い溝を飛び越えてよろけた。よってよろよろと歩く。,,
無職・失業中・仕事のない,To be unemployed/jobless,,,
すり傷「を負う」,A scratch/scrape,擦り傷を負うTo get a scrape,,
伝授する（でんじゅ）,"Instruction, to instruct (master to apprentice etc)",,,
決意する,"Determination, to determine",自分の意思をはっきりと決めること」難があってもオリンピックに出場すると決意した。そこまで決意が固いのであれば、これ以上何も申し上げることはありません。,,
通算する,"Cumulative totaling, to accumulatively total",合計に同じだけど、連続して計算する感じ」費用は通算して２間年万円？になった。通算で５回優勝する。大学で通算(通算は「計算した合計」という意味だから、大学は通常4年間なので、ここでは通算という言葉はいらない。）４年間勉強する。石井は日本での１０年間で通算７９勝４６敗の成績を残した。,,
退出する,"Leaving, to leave",先生は生徒たちに講義室を退出させなかった。軍隊では無断退出することは許さられない。,,
区分する,"A category/classification, to categorize/classify",彼は善悪を区分（区別）できないほど馬鹿ではない。土地を区分する。,,
コスチューム,A costume,,,
連打,A barrage (punches etc.),突きの連打。,,
ドン底,The very bottom,失業者は常にどん底に落ちる羽目になります。,,
脅す,To threaten,彼はそれを公表すると脅した。彼はあるギャングに脅されている。,,
代替休暇・代休,Compensatory time/comp time,,,
一見客,A first time customer,,,
一元、一元的な、一元化（する）,"Unitary, unified, to unify",,,
団体「を組む」,A group/organization/association,,,
ボーナス、賞与,A bonus,,,
リサイクルショップ,A recycle shop,,,
古文,Old literature,,,
現代文,Modern literature,,,
乳幼児、幼児、乳児,Infant,,,
取り外す、取り除く,"To take off, to remove from (a whole)",その蓋を取り外す。包帯を取り外す。その古い家から屋根が取り外された。,,
内線２４５番,Phone extension 245,内線１２３４をお願いします。内線１２３４につないでください。内線２１４に出る人ならだれでも構いません。,,
印刷物,Printed material,,,
郵袋,A mailbag,,,
直感する、直感的な,"Intuition, to have a hunch that, to be intuitive",警察は彼が犯人だと直感した。,,
描写する,"A portrayal, to portray",最新の漫画は暴力や性の描写が多すぎる。彼はそこで起こったことを正確に描写した。,,
同僚,A colleage/fellow worker,,,
改ざんする,"Falsification, to falsify",私の同僚は報告書を改ざんした。政治家はいつも講演を改ざんしてでうそをついて、偽りの約束をする。（「改ざん」は「文書の文字などを自分の都合のいいように改めかえること」）,,
居残る,To stay behind/to work overtime,,,
受信トレイ,An email inbox,,,
